10000;81
9999;86
9998;75
9997;74
9996;83
9995;76
9994;72
9993;76
9992;88
9991;70
9990;75
9989;85
9988;90
9987;85
9986;73
9985;70
9984;84
9983;80
9982;85
9981;71
9980;86
9979;81
9978;81
9977;83
9976;78
9975;89
9974;76
9973;88
9972;70
9971;75
9970;73
9969;75
9968;90
9967;70
9966;78
9965;84
9964;83
9963;87
9962;84
9961;81
9960;88
9959;71
9958;87
9957;72
9956;85
9955;84
9954;83
9953;81
9952;87
9951;87
9950;77
9949;87
9948;90
9947;90
9946;76
9945;79
9944;73
9943;89
9942;85
9941;72
9940;80
9939;83
9938;77
9937;88
9936;79
9935;90
9934;88
9933;70
9932;87
9931;77
9930;74
9929;87
9928;89
9927;86
9926;72
9925;87
9924;80
9923;79
9922;80
9921;89
9920;82
9919;79
9918;85
9917;77
9916;77
9915;85
9914;72
9913;72
9912;89
9911;86
9910;87
9909;76
9908;70
9907;81
9906;86
9905;87
9904;89
9903;70
9902;87
9901;76
9900;80
9899;86
9898;71
9897;88
9896;74
9895;83
9894;76
9893;72
9892;83
9891;73
9890;83
9889;79
9888;82
9887;89
9886;89
9885;82
9884;78
9883;72
9882;89
9881;77
9880;87
9879;74
9878;73
9877;82
9876;90
9875;80
9874;75
9873;83
9872;80
9871;71
9870;75
9869;84
9868;78
9867;80
9866;90
9865;87
9864;76
9863;89
9862;75
9861;85
9860;79
9859;79
9858;84
9857;84
9856;74
9855;73
9854;81
9853;82
9852;90
9851;70
9850;87
9849;76
9848;77
9847;77
9846;89
9845;90
9844;89
9843;81
9842;90
9841;82
9840;86
9839;87
9838;77
9837;87
9836;72
9835;77
9834;72
9833;86
9832;90
9831;90
9830;81
9829;89
9828;71
9827;84
9826;89
9825;79
9824;84
9823;84
9822;72
9821;87
9820;72
9819;78
9818;75
9817;87
9816;79
9815;90
9814;77
9813;80
9812;70
9811;89
9810;70
9809;70
9808;88
9807;87
9806;80
9805;81
9804;81
9803;79
9802;79
9801;77
9800;87
9799;86
9798;82
9797;90
9796;78
9795;84
9794;71
9793;77
9792;87
9791;81
9790;74
9789;72
9788;90
9787;88
9786;88
9785;83
9784;86
9783;78
9782;82
9781;70
9780;77
9779;73
9778;76
9777;90
9776;76
9775;81
9774;70
9773;80
9772;82
9771;83
9770;70
9769;81
9768;88
9767;83
9766;73
9765;78
9764;85
9763;71
9762;83
9761;72
9760;83
9759;75
9758;74
9757;86
9756;78
9755;74
9754;89
9753;76
9752;78
9751;84
9750;80
9749;82
9748;73
9747;81
9746;76
9745;77
9744;70
9743;79
9742;70
9741;71
9740;73
9739;89
9738;87
9737;81
9736;81
9735;84
9734;74
9733;78
9732;74
9731;75
9730;76
9729;71
9728;84
9727;84
9726;71
9725;81
